
2012.09.26 21:42

EURCAD, SELL, Diff: 0.00011230, iStochastic Main: 42.89185905, iStochastic Signal: 62.90953158

USDCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.94051, Ask: 0.94076, Spread: 25.00000000
GBPUSD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.61494, Ask: 1.61517, Spread: 23.00000000
EURUSD, val2: 1.28641, val3: 1.28612, val4: 1.28665, val5: 1.28616, Bid: 1.28549, Ask: 1.28569, Spread: 20.00000000
USDJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 77.761, Ask: 77.779, Spread: 18.00000000
USDCAD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.98445, Ask: 0.98468, Spread: 23.00000000
AUDUSD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.03561, Ask: 1.03583, Spread: 22.00000000
EURAUD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.24106, Ask: 1.24144, Spread: 38.00000000
EURJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 99.969, Ask: 99.994, Spread: 25.00000000
GBPCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.51899, Ask: 1.51943, Spread: 44.00000000
CADJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 78.978, Ask: 79.000, Spread: 22.00000000
GBPJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 125.585, Ask: 125.620, Spread: 35.00000000
AUDCAD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.01955, Ask: 1.01993, Spread: 38.00000000
AUDCHF, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 0.97405, Ask: 0.97443, Spread: 38.00000000
AUDJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 80.532, Ask: 80.564, Spread: 32.00000000
CHFJPY, val2: 0.000, val3: 0.000, val4: 0.000, val5: 0.000, Bid: 82.662, Ask: 82.692, Spread: 30.00000000
EURNZD, val2: 0.00000, val3: 0.00000, val4: 0.00000, val5: 0.00000, Bid: 1.56006, Ask: 1.56057, Spread: 51.00000000
